sector                ,industry
Services              ,Broadcasting - TV
Services              ,Electronics Stores
Services              ,Computers Wholesale
Services              ,"Discount, Variety Stores"
Services              ,Catalog & Mail Order Houses
Services              ,Major Airlines
Services              ,Gaming Activities
Services              ,Specialty Eateries
Services              ,Toy & Hobby Stores
Services              ,Music & Video Stores
Services              ,Sporting Goods Stores
Services              ,Drugs Wholesale
Services              ,Auto Parts Stores
Services              ,"Wholesale, Other"
Services              ,Building Materials Wholesale
Services              ,\N
Technology            ,Networking & Communication Devices
Technology            ,Diversified Communication Services
Technology            ,Semiconductor - Integrated Circuits
Technology            ,Semiconductor - Specialized
Technology            ,Information Technology Services
Technology            ,Information & Delivery Services
Technology            ,Communication Equipment
Technology            ,Computer Peripherals
Technology            ,Internet Software & Services
Technology            ,Application Software
Technology            ,Internet Service Providers
Technology            ,Scientific & Technical Instruments
Technology            ,Business Software & Services
Technology            ,Diversified Electronics
Technology            ,Healthcare Information Services
Technology            ,Printed Circuit Boards
Technology            ,Internet Information Providers
Technology            ,Telecom Services - Foreign
Technology            ,Telecom Services - Domestic
Technology            ,Multimedia & Graphics Software
Technology            ,Semiconductor - Broad Line
Technology            ,Security Software & Services
Technology            ,Semiconductor Equipment & Materials
Technology            ,Wireless Communications
Technology            ,Computer Based Systems
Technology            ,Long Distance Carriers
Technology            ,Data Storage Devices
Technology            ,Semiconductor- Memory Chips
Technology            ,Processing Systems & Products
Technology            ,Diversified Computer Systems
Technology            ,\N
Technology            ,Technical & System Software
Utilities             ,Gas Utilities
Utilities             ,Electric Utilities
Utilities             ,Water Utilities
Utilities             ,Diversified Utilities
Utilities             ,\N
Utilities             ,Foreign Utilities
                      ,
                      ,\N
Services              ,Information Technology Services
Financial             ,Closed-End Fund - Foreign
Consumer Goods        ,REIT - Retail
Financial Services    ,Asset Management
Financial Services    ,\N
Industrials           ,Diversified Industrials
Industrials           ,\N
Financial Services    ,Banks - Regional - US
Consumer Cyclical     ,Apparel Stores
Consumer Cyclical     ,\N
Consumer Cyclical     ,Auto Parts
Consumer Cyclical     ,Leisure
Healthcare            ,Medical Devices
Consumer Cyclical     ,Personal Services
Technology            ,Software - Application
Industrials           ,Rental & Leasing Services
Energy                ,Oil & Gas E&P
Energy                ,\N
Financial Services    ,Insurance - Specialty
Industrials           ,Waste Management
Energy                ,Oil & Gas Drilling
Industrials           ,Business Services
Consumer Cyclical     ,Packaging & Containers
Consumer Defensive    ,Beverages - Soft Drinks
Consumer Defensive    ,\N
Technology            ,Electronic Gaming & Multimedia
Healthcare            ,Drug Manufacturers - Specialty & Generic
Industrials           ,Engineering & Construction
Technology            ,Electronic Components
Consumer Defensive    ,Tobacco
Real Estate           ,REIT - Hotel & Motel
Real Estate           ,\N
Industrials           ,Metal Fabrication
Technology            ,Internet Content & Information
Financial Services    ,Insurance - Property & Casualty
Industrials           ,Integrated Shipping & Logistics
Consumer Cyclical     ,Rubber & Plastics
Consumer Cyclical     ,Residential Construction
Industrials           ,Business Equipment
Consumer Cyclical     ,Auto & Truck Dealerships
Consumer Defensive    ,Grocery Stores
Technology            ,Semiconductors
Consumer Cyclical     ,Media - Diversified
Real Estate           ,REIT - Retail
Industrials           ,Railroads
Technology            ,Solar
Consumer Defensive    ,Packaged Foods
Consumer Defensive    ,Education & Training Services
Industrials           ,Tools & Accessories
Consumer Defensive    ,Household & Personal Products
Energy                ,Oil & Gas Integrated
Technology            ,Electronics Distribution
Industrials           ,Airlines
Industrials           ,Staffing & Outsourcing Services
Consumer Cyclical     ,Marketing Services
Utilities             ,Utilities - Regulated Electric
Financial Services    ,Insurance - Diversified
Industrials           ,Trucking
Energy                ,Oil & Gas Equipment & Services
Technology            ,Contract Manufacturers
Consumer Cyclical     ,Broadcasting - Radio
Healthcare            ,Medical Distribution
Consumer Cyclical     ,Resorts & Casinos
Consumer Cyclical     ,Publishing
Consumer Cyclical     ,Specialty Retail
Industrials           ,Conglomerates
Consumer Cyclical     ,Apparel Manufacturing
Technology            ,Health Information Services
Basic Materials       ,Chemicals
Real Estate           ,Real Estate Services
Financial Services    ,Capital Markets
Financial Services    ,Savings & Cooperative Banks
Basic Materials       ,Building Materials
Healthcare            ,Medical Care
Technology            ,Software - Infrastructure
Industrials           ,Industrial Distribution
Utilities             ,Utilities - Independent Power Producers
Industrials           ,Aerospace & Defense
Financial Services    ,Banks - Global
Industrials           ,Shipping & Ports
Utilities             ,Utilities - Regulated Gas
Healthcare            ,Diagnostics & Research
Consumer Defensive    ,Food Distribution
Industrials           ,Security & Protection Services
Financial Services    ,Banks - Regional - Asia
Energy                ,Oil & Gas Refining & Marketing
Real Estate           ,REIT - Office
Consumer Defensive    ,Farm Products
Communication Services,Telecom Services
Communication Services,\N
Financial Services    ,Credit Services
Real Estate           ,REIT - Diversified
Industrials           ,Airports & Air Services
Basic Materials       ,Steel
Industrials           ,Pollution & Treatment Controls
Consumer Defensive    ,Beverages - Brewers
Real Estate           ,Real Estate - General
Basic Materials       ,Agricultural Inputs
Consumer Cyclical     ,Advertising Agencies
Financial Services    ,Insurance - Life
Consumer Cyclical     ,Restaurants
Basic Materials       ,Paper & Paper Products
Consumer Cyclical     ,Home Furnishings & Fixtures
Utilities             ,Utilities - Diversified
Financial Services    ,Specialty Finance
Consumer Defensive    ,Pharmaceutical Retailers
Financial Services    ,Financial Exchanges
Consumer Cyclical     ,Auto Manufacturers
Industrials           ,Farm & Construction Equipment
Consumer Cyclical     ,Luxury Goods
Consumer Cyclical     ,Footwear & Accessories
Real Estate           ,REIT - Residential
Real Estate           ,REIT - Healthcare Facilities
Consumer Cyclical     ,Lodging
Consumer Cyclical     ,Gambling
Industrials           ,Truck Manufacturing
Communication Services,Pay TV
Consumer Cyclical     ,Home Improvement Stores
Financial Services    ,Banks - Regional - Europe
Technology            ,Computer Systems
Technology            ,Consumer Electronics
Financial Services    ,Banks - Regional - Latin America
Technology            ,Data Storage
Energy                ,Oil & Gas Midstream
Financial Services    ,Insurance Brokers
Financial Services    ,Insurance - Reinsurance
Consumer Defensive    ,Discount Stores
Basic Materials       ,Lumber & Wood Production
Financial Services    ,Banks - Regional - Canada
Consumer Cyclical     ,Broadcasting - TV
Technology            ,Computer Distribution
Consumer Cyclical     ,Department Stores
Industrials           ,Infrastructure Operations
Consumer Cyclical     ,Textile Manufacturing
Real Estate           ,REIT - Industrial
Consumer Defensive    ,Beverages - Wineries & Distilleries
Basic Materials       ,Coal
Utilities             ,Utilities - Regulated Water
Consumer Defensive    ,Confectioners
Consumer Cyclical     ,Recreational Vehicles
Technology            ,Semiconductor Memory
Financial Services    ,Banks - Regional - Australia
Financial Services    ,Banks - Regional - Africa
Technology            ,Personal Computers
Real Estate           ,REIT�Hotel & Motel
Financial Services    ,Insurance�Specialty
Consumer Defensive    ,Beverages�Non-Alcoholic
Technology            ,Software�Infrastructure
Basic Materials       ,Other Industrial Metals & Mining
Consumer Cyclical     ,"Furnishings, Fixtures & Appliances"
Consumer Cyclical     ,Apparel Retail
Financial Services    ,Banks�Regional
Industrials           ,Business Equipment & Supplies
Industrials           ,Specialty Business Services
Communication Services,Internet Content & Information
Industrials           ,Marine Shipping
Financial Services    ,Insurance�Life
Industrials           ,Electrical Equipment & Parts
Financial Services    ,Insurance�Property & Casualty
Real Estate           ,REIT�Retail
Financial Services    ,Financial Conglomerates
Industrials           ,Building Products & Equipment
Industrials           ,Integrated Freight & Logistics
Industrials           ,Staffing & Employment Services
Technology            ,Software�Application
Communication Services,Advertising Agencies
Utilities             ,Utilities�Regulated Electric
Real Estate           ,REIT�Office
Real Estate           ,Real Estate�Development
Utilities             ,Utilities�Renewable
Consumer Cyclical     ,Travel Services
Healthcare            ,Drug Manufacturers�General
Industrials           ,Specialty Industrial Machinery
Healthcare            ,Drug Manufacturers�Specialty & Generic
Healthcare            ,Medical Care Facilities
Financial Services    ,Banks�Diversified
Communication Services,Publishing
Real Estate           ,REIT�Mortgage
Communication Services,Electronic Gaming & Multimedia
Consumer Defensive    ,Beverages�Brewers
Healthcare            ,Healthcare Plans
Financial Services    ,Insurance�Diversified
Financial Services    ,Financial Data & Stock Exchanges
Utilities             ,Utilities�Independent Power Producers
Communication Services,Broadcasting
Utilities             ,Utilities�Regulated Gas
Real Estate           ,REIT�Specialty
Real Estate           ,REIT�Healthcare Facilities
Industrials           ,Consulting Services
Industrials           ,Farm & Heavy Construction Machinery
Communication Services,Entertainment
Technology            ,Computer Hardware
Healthcare            ,Health Information Services
Energy                ,Uranium
Basic Materials       ,Other Precious Metals & Mining
Healthcare            ,Pharmaceutical Retailers
Consumer Cyclical     ,Home Improvement Retail
Real Estate           ,REIT�Industrial
Real Estate           ,REIT�Diversified
Real Estate           ,REIT�Residential
Technology            ,Electronics & Computer Distribution
Financial Services    ,Shell Companies
Energy                ,Thermal Coal
Financial Services    ,Mortgage Finance
Real Estate           ,Real Estate�Diversified
Financial Services    ,Insurance�Reinsurance
Consumer Cyclical     ,Internet Retail
Utilities             ,Utilities�Diversified
Utilities             ,Utilities�Regulated Water
Basic Materials       ,Coking Coal
Consumer Defensive    ,Beverages�Wineries & Distilleries
